,0,mean,std,min,max,median,mode,q1,q2,q3
"log_phi_('Gas_node_3', 'Gas', 'Gas')",5.381278887262384,5.381278887262384,0.0,5.381278887262384,5.381278887262384,5.381278887262384,5.381278887262384,5.381278887262384,5.381278887262384,5.381278887262384
"log_phi_('Gas_node_4', 'Gas', 'Gas')",5.042779747422823,5.042779747422823,0.0,5.042779747422823,5.042779747422823,5.042779747422823,5.042779747422823,5.042779747422823,5.042779747422823,5.042779747422823
"log_phi_('Gas_node_5', 'Gas', 'Gas')",5.586499314041468,5.586499314041468,0.0,5.586499314041468,5.586499314041468,5.586499314041468,5.586499314041468,5.586499314041468,5.586499314041468,5.586499314041468
"log_phi_('Gas_node_6', 'Gas', 'Gas')",2.8735646395797834,2.8735646395797834,0.0,2.8735646395797834,2.8735646395797834,2.8735646395797834,2.8735646395797834,2.8735646395797834,2.8735646395797834,2.8735646395797834
"log_phi_('Gas_node_7', 'Gas', 'Gas')",3.131136910560194,3.131136910560194,0.0,3.131136910560194,3.131136910560194,3.131136910560194,3.131136910560194,3.131136910560194,3.131136910560194,3.131136910560194
"log_phi_('Gas_node_8', 'Gas', 'Gas')",4.22829253473184,4.22829253473184,0.0,4.22829253473184,4.22829253473184,4.22829253473184,4.22829253473184,4.22829253473184,4.22829253473184,4.22829253473184
"log_phi_('Gas_node_9', 'Gas', 'Gas')",3.8501476017100584,3.8501476017100584,0.0,3.8501476017100584,3.8501476017100584,3.8501476017100584,3.8501476017100584,3.8501476017100584,3.8501476017100584,3.8501476017100584
"log_phi_('Gas_node_10', 'Gas', 'Gas')",2.5952547069568657,2.5952547069568657,0.0,2.5952547069568657,2.5952547069568657,2.5952547069568657,2.5952547069568657,2.5952547069568657,2.5952547069568657,2.5952547069568657
"log_phi_('Gas_node_11', 'Gas', 'Gas')",1.2237754316221157,1.2237754316221157,0.0,1.2237754316221157,1.2237754316221157,1.2237754316221157,1.2237754316221157,1.2237754316221157,1.2237754316221157,1.2237754316221157
"log_phi_('Gas_node_12', 'Gas', 'Gas')",2.653241964607215,2.653241964607215,0.0,2.653241964607215,2.653241964607215,2.653241964607215,2.653241964607215,2.653241964607215,2.653241964607215,2.653241964607215
"log_phi_('Gas_node_13', 'Gas', 'Gas')",3.2308043957334744,3.2308043957334744,0.0,3.2308043957334744,3.2308043957334744,3.2308043957334744,3.2308043957334744,3.2308043957334744,3.2308043957334744,3.2308043957334744
"log_phi_('Gas_node_14', 'Gas', 'Gas')",2.4423470353692043,2.4423470353692043,0.0,2.4423470353692043,2.4423470353692043,2.4423470353692043,2.4423470353692043,2.4423470353692043,2.4423470353692043,2.4423470353692043
