,0,mean,std,min,max,median,mode,q1,q2,q3
"alpha_('Water_node_25', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_25', 'Water', 'Water')",23.6000000003536,23.6000000003536,0.0,23.6000000003536,23.6000000003536,23.6000000003536,23.6000000003536,23.6000000003536,23.6000000003536,23.6000000003536
"alpha_('Water_node_26', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_26', 'Water', 'Water')",23.50000000050537,23.50000000050537,0.0,23.50000000050537,23.50000000050537,23.50000000050537,23.50000000050537,23.50000000050537,23.50000000050537,23.50000000050537
"alpha_('Water_node_27', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_27', 'Water', 'Water')",23.500000000099995,23.500000000099995,0.0,23.500000000099995,23.500000000099995,23.500000000099995,23.500000000099995,23.500000000099995,23.500000000099995,23.500000000099995
"alpha_('Water_node_28', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_28', 'Water', 'Water')",23.60000000111474,23.60000000111474,0.0,23.60000000111474,23.60000000111474,23.60000000111474,23.60000000111474,23.60000000111474,23.60000000111474,23.60000000111474
"alpha_('Water_node_29', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_29', 'Water', 'Water')",23.500000000983764,23.500000000983764,0.0,23.500000000983764,23.500000000983764,23.500000000983764,23.500000000983764,23.500000000983764,23.500000000983764,23.500000000983764
"alpha_('Water_node_30', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_30', 'Water', 'Water')",23.53065594520531,23.53065594520531,0.0,23.53065594520531,23.53065594520531,23.53065594520531,23.53065594520531,23.53065594520531,23.53065594520531,23.53065594520531
"alpha_('Water_node_31', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_31', 'Water', 'Water')",15.775,15.775,0.0,15.775,15.775,15.775,15.775,15.775,15.775,15.775
"alpha_('Water_node_32', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_32', 'Water', 'Water')",14.82436881,14.82436881,0.0,14.82436881,14.82436881,14.82436881,14.82436881,14.82436881,14.82436881,14.82436881
"alpha_('Water_node_33', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_33', 'Water', 'Water')",23.600000000900092,23.600000000900092,0.0,23.600000000900092,23.600000000900092,23.600000000900092,23.600000000900092,23.600000000900092,23.600000000900092,23.600000000900092
"alpha_('Water_node_34', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_34', 'Water', 'Water')",23.600000008320947,23.600000008320947,0.0,23.600000008320947,23.600000008320947,23.600000008320947,23.600000008320947,23.600000008320947,23.600000008320947,23.600000008320947
"alpha_('Water_node_35', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_35', 'Water', 'Water')",21.836,21.836,0.0,21.836,21.836,21.836,21.836,21.836,21.836,21.836
"alpha_('Water_node_36', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_36', 'Water', 'Water')",4.787,4.787,0.0,4.787,4.787,4.787,4.787,4.787,4.787,4.787
"alpha_('Water_node_37', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_37', 'Water', 'Water')",0.503,0.503,0.0,0.503,0.503,0.503,0.503,0.503,0.503,0.503
"alpha_('Water_node_38', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_38', 'Water', 'Water')",12.856975229999685,12.856975229999685,0.0,12.856975229999685,12.856975229999685,12.856975229999685,12.856975229999685,12.856975229999685,12.856975229999685,12.856975229999685
"alpha_('Water_node_39', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_39', 'Water', 'Water')",8.237,8.237,0.0,8.237,8.237,8.237,8.237,8.237,8.237,8.237
"alpha_('Water_node_40', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_40', 'Water', 'Water')",1.483,1.483,0.0,1.483,1.483,1.483,1.483,1.483,1.483,1.483
"alpha_('Water_node_41', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_41', 'Water', 'Water')",4.046,4.046,0.0,4.046,4.046,4.046,4.046,4.046,4.046,4.046
"alpha_('Water_node_42', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_42', 'Water', 'Water')",2.958,2.958,0.0,2.958,2.958,2.958,2.958,2.958,2.958,2.958
"alpha_('Water_node_43', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_43', 'Water', 'Water')",7.225,7.225,0.0,7.225,7.225,7.225,7.225,7.225,7.225,7.225
"alpha_('Water_node_44', 'Water', 'Water')",1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"phi_('Water_node_44', 'Water', 'Water')",0.422,0.422,0.0,0.422,0.422,0.422,0.422,0.422,0.422,0.422
